title,author,avg goodreads rating,my rating,Month Read
The Death of Ivan Ilych,"Tolstoy, Leo",4.12,3,Dec
"Arsène Lupin, Gentleman-Thief (Arsène Lupin, #1)","Leblanc, Maurice",3.81,5,Dec
The Picture of Dorian Gray,"Wilde, Oscar",4.12,5,Nov
Colorless Tsukuru Tazaki and His Years of Pilgrimage,"Murakami, Haruki",3.87,4,Aug
"Days at the Morisaki Bookshop (Days at the Morisaki Bookshop, #1)","Yagisawa, Satoshi",3.66,3,Oct
Small Things Like These,"Keegan, Claire",4.2,2,Jul
A Little Life,"Yanagihara, Hanya",4.34,5,Oct
A Man Called Ove,"Backman, Fredrik",4.38,3,Jul
Tuesdays with Morrie,"Albom, Mitch",4.16,4,May
A Tale for the Time Being,"Ozeki, Ruth",4.05,2,Mar
Kitchen,"Yoshimoto, Banana",3.89,3,Feb
Fish Swimming in Dappled Sunlight,"Onda, Riku",3.13,2,Jan
Orbiting Jupiter,"Schmidt, Gary",4.23,4,Nov
Normal People,Sally Rooney,3.81,3,Jan
The Seven Moons of Maali Almeida,"Karunatilaka, Shehan",3.95,3,Feb
Never Let Me Go,Ishiguro Kazuo,3.85,4,Nov
All The Lovers in The Night,Kawakami Meiko,3.75,4,Nov
